users,avg_rt,rt_lo,rt_hi,goodput,badput,throughput,drop_rate_pct,core_util_pct
20,0.102083,0.101753,0.102412,6.28281,0.00280556,6.28561,0,16.0287
30,0.102487,0.102255,0.102719,9.42233,0.00373611,9.42607,0,24.0443
40,0.103539,0.103198,0.10388,12.5584,0.00620833,12.5646,0,32.0892
50,0.105322,0.105066,0.105578,15.6963,0.00672222,15.703,0,40.0888
60,0.108403,0.108103,0.108704,18.7997,0.00941667,18.8091,0,47.9873
70,0.113583,0.113353,0.113812,21.9172,0.0113889,21.9286,0,55.8691
80,0.121972,0.121613,0.122331,24.9724,0.0158333,24.9882,0.000111219,63.7683
100,0.155688,0.154885,0.156492,30.8478,0.0436667,30.8915,0.0058446,78.7177
120,0.248741,0.247356,0.250127,35.7488,0.228722,35.9775,0.179119,91.7304
140,0.454307,0.452451,0.456163,37.7376,1.00537,38.743,2.08605,98.7664
150,0.573587,0.570895,0.576278,37.5758,1.54683,39.1226,4.62584,99.7275
160,0.678296,0.675431,0.681162,37.2019,1.98493,39.1869,8.05305,99.9481
