time,running_avg_rt_ms
0.8597,23.1349
1.0814,46.2667
1.2747,42.2399
1.2873,35.9840
1.3035,33.2017
1.3162,31.7869
1.4025,27.6244
1.6225,26.1431
1.6256,24.3426
1.7197,27.9626
1.7217,27.8306
1.7594,27.3977
1.7748,25.6672
1.8148,26.8658
1.8239,26.8106
2.1602,25.3512
2.2475,25.8791
2.2498,25.4342
2.2553,24.7555
2.2698,24.8595
2.4089,28.1296
2.4593,33.0818
2.5146,35.9298
2.5966,35.0478
2.6116,34.2806
2.7184,34.4027
2.7223,33.9578
2.8303,37.1935
2.8481,40.5063
2.8760,42.6058
2.9117,44.7985
2.9271,47.2877
2.9548,49.6700
2.9803,51.5590
2.9873,53.4697
3.0392,55.5802
3.0573,57.2130
3.0805,58.5601
3.0949,59.5779
3.1589,59.4977
3.1674,59.1586
3.2911,60.6025
3.2974,60.7099
3.3762,62.4191
3.4136,64.7734
3.4211,66.5216
3.4370,68.4469
3.4750,70.8781
3.5108,72.7335
3.5217,74.5897
3.5236,75.7192
3.5287,76.3874
3.5977,78.1866
3.6216,79.8424
3.6305,80.7131
3.6361,81.5251
3.6666,82.6415
3.6701,83.2344
3.6734,83.5856
3.7080,83.2817
3.7322,82.8747
3.7781,82.3591
3.7935,81.5597
3.8140,80.8490
3.8515,80.5413
3.8640,79.3602
3.8779,78.3841
3.9149,77.7806
3.9736,77.0737
4.0667,76.5390
4.1015,75.5314
4.1886,75.0636
4.2422,74.3681
4.2634,73.9757
4.3246,73.3766
4.3804,72.8000
4.3941,72.1764
4.3944,71.5330
4.3998,70.7108
4.4385,70.1234
4.4705,69.5768
4.5579,69.7541
4.5745,69.9078
4.6023,70.1480
4.6667,70.3722
4.6763,70.1707
4.7319,69.9902
4.7642,70.0953
4.7779,70.3346
4.9077,69.7154
4.9411,69.2283
4.9631,68.5832
5.1963,69.8996
5.2456,71.7109
5.2575,73.4374
5.2804,75.1657
5.2848,76.7601
5.2999,78.2258
5.3294,79.5444
5.3539,80.7292
5.3742,81.8743
5.4299,83.2109
5.4432,84.4906
5.4608,85.8082
5.4914,86.6864
5.5205,87.5363
5.5490,88.2930
5.6254,89.5648
5.6494,90.6077
5.6827,90.7551
5.7395,91.2514
5.7509,91.5923
5.7652,91.7180
5.7909,91.7414
5.9114,92.6208
5.9787,94.0213
6.0022,95.4205
6.1427,97.6561
6.1972,100.2695
6.2881,103.5841
6.3218,106.9491
6.3811,110.4985
6.4461,114.1943
6.4637,117.5444
6.4837,120.8208
6.5394,124.4410
6.5917,128.3550
6.6541,132.6739
6.6757,136.8885
6.7131,141.0890
6.7272,145.0421
6.7457,149.0655
6.7646,152.1031
6.8042,155.2954
6.8371,158.1864
6.8637,161.2119
6.8801,164.1915
6.9783,166.6752
6.9859,169.0406
7.0006,170.7218
7.1082,172.5591
7.1429,174.0189
7.1628,174.1280
7.1977,173.3014
7.2310,172.1219
7.2641,171.0173
7.2768,170.0056
7.2895,168.9851
7.2979,167.8818
7.4668,167.6254
7.5430,167.5208
7.6043,167.2311
7.6073,166.5596
7.6579,165.8665
7.6816,165.0442
7.7113,164.0579
7.8221,163.2795
7.9659,162.8898
8.1153,163.1687
8.1824,163.8583
8.2120,164.0910
8.2535,164.1130
8.2589,163.6706
8.3140,162.6828
8.3897,161.7181
8.4366,160.7662
8.5532,159.9305
8.5598,159.0944
8.6776,158.2714
8.7071,157.4295
8.7995,156.5616
8.8734,155.6932
8.9858,155.1387
8.9909,154.5710
9.0674,154.0609
9.0887,153.4308
9.1009,152.7569
9.1503,152.2642
9.1798,151.7194
9.2136,151.1856
9.2212,150.5501
9.2569,149.9955
9.3008,149.6133
9.3083,149.0555
9.3554,148.6474
9.3578,148.2489
9.3651,147.6126
9.4420,146.9877
9.5350,146.8322
9.5843,146.9209
9.6061,147.0347
9.6266,146.9563
9.6332,146.8235
9.6538,146.5645
9.7202,146.4536
9.7231,146.3513
9.7238,146.2344
9.7382,146.1681
9.7645,145.9907
9.8499,145.3760
9.8809,144.8048
9.9021,144.1046
9.9559,143.5377
10.0536,142.9306
10.1663,142.3124
10.1944,141.6878
10.3615,141.1648
10.4175,140.6290
10.4734,140.3639
10.4918,140.0839
10.5175,139.8991
10.5219,139.2884
10.5508,138.7252
10.5602,138.1704
10.5736,137.6474
10.6905,137.4874
10.8137,137.5274
10.8160,137.5474
10.8215,137.4497
10.9093,137.6929
10.9991,138.2286
11.0039,138.3049
11.0861,138.4632
11.1597,138.8307
11.1753,139.2098
11.1912,139.6164
11.2264,140.0674
11.2457,140.5272
11.2781,140.5971
11.3000,140.6319
11.3250,140.5452
11.3452,139.9629
11.4295,139.4616
11.4825,139.1294
11.5430,138.6054
11.6458,138.2343
11.6613,137.8378
11.6754,137.3798
11.7348,137.1443
11.7982,136.9501
11.8242,136.8472
11.8384,136.7355
11.8463,136.6410
11.8562,136.5814
11.9899,136.0852
12.0631,135.6722
12.0735,135.1698
12.1131,134.6878
12.1627,134.2558
12.2503,133.7462
12.2894,133.2892
12.4416,133.2102
12.4878,133.2283
12.5240,133.3618
12.5348,133.4873
12.5971,133.7621
12.6198,134.0824
12.6235,134.3210
12.6413,134.5495
12.6695,134.8380
12.6799,135.0835
12.6958,135.3471
12.7361,135.6227
12.7516,135.5968
12.7531,135.1450
12.8207,134.7247
12.9109,134.2424
13.0061,133.8848
13.0156,133.4172
13.0790,133.1073
13.0957,132.8467
13.1168,132.6575
13.1326,132.3984
13.1683,132.2149
13.2010,132.1148
13.2282,132.0319
13.2374,131.8917
13.2542,131.6267
13.2579,131.3220
13.2765,130.9616
13.2895,130.5046
13.4162,130.4503
13.4312,130.1923
13.4565,129.9770
13.4651,129.7908
13.4844,129.3560
13.5435,128.9914
13.5465,128.6254
13.5754,128.3450
13.6201,128.0858
13.6335,127.7143
13.6972,127.4290
13.7412,127.0850
13.8475,127.0112
13.8647,126.7249
13.9114,126.5484
13.9412,126.4550
13.9500,126.3182
13.9841,126.0766
14.0529,125.8576
14.1277,125.6337
14.1318,125.2996
14.1647,125.0344
14.1738,124.7808
14.2294,124.4954
14.2403,124.0935
14.3441,123.8538
14.3987,123.7407
14.4158,123.6147
14.4199,123.3590
14.5692,123.4422
14.6676,123.6104
14.6944,123.8279
14.7024,123.9193
14.7344,124.0561
14.7372,123.9552
14.7576,123.7761
14.8119,123.6467
14.8137,123.4911
14.8319,123.2087
14.8798,122.8592
14.8876,122.5238
15.0662,122.5188
15.0729,122.4938
15.0923,122.4492
15.2388,122.2277
15.3774,121.9079
15.3857,121.5895
15.5086,121.5894
15.5221,121.3489
15.5493,121.1496
15.5960,121.0691
15.6221,120.9785
15.6359,120.9091
15.6557,120.8087
15.6666,120.5837
15.6812,120.4030
15.6948,120.2365
15.7007,120.0712
15.7343,119.9240
15.7878,119.8873
15.7919,119.8409
15.8046,119.8179
15.8625,119.8065
15.8775,119.7277
15.9690,119.6007
16.0077,119.3407
16.0979,119.0083
16.1642,118.7700
16.2353,118.4706
16.3084,118.3412
16.3144,118.2241
16.4048,117.9321
16.4390,117.6037
16.6389,117.4319
16.7651,117.6125
16.7924,117.7308
16.8008,117.7489
16.8037,117.7666
16.8083,117.7670
16.8192,117.7004
16.8243,117.6216
16.8751,117.3205
16.9127,117.1111
16.9216,116.8321
16.9615,116.5439
17.0414,116.2557
17.0568,115.9662
17.0977,115.7084
17.2057,115.5573
17.2459,115.3008
17.2828,115.0271
17.3373,114.8667
17.3765,114.8048
17.3973,114.7307
17.4367,114.5725
17.4480,114.3172
17.5306,114.2066
17.5753,114.1837
17.6091,114.1858
17.6170,114.1064
17.6256,114.0498
17.6609,114.0788
17.6861,114.1589
17.8340,114.5589
17.8369,114.9057
17.8403,115.0749
17.8556,115.2522
17.8840,115.4892
17.8876,115.7312
17.9150,115.8956
17.9398,115.8227
17.9659,115.7242
18.0222,115.6738
18.0373,115.6479
18.0406,115.5935
18.0461,115.5154
18.1034,115.5492
18.1580,115.7182
18.1688,115.8961
18.2194,115.9817
18.2407,115.8601
18.4522,115.8052
18.4967,115.8338
18.5097,115.8889
18.5339,115.8826
18.5527,115.9089
18.6277,116.0519
18.6317,116.0440
18.6981,116.0667
18.7471,115.9149
18.8342,115.7247
18.8779,115.5319
18.9050,115.4042
18.9086,115.1698
18.9446,115.0216
18.9859,114.7596
